grond vocht,grond temp,lucht vocht,lucht temp,acceptabel
laag,laag,laag,hoog,nee
laag,laag,hoog,laag,nee
laag,hoog,laag,laag,nee
hoog,laag,laag,laag,nee
hoog,hoog,hoog,hoog,nee
hoog,hoog,hoog,laag,nee
hoog,hoog,laag,hoog,ja
hoog,laag,hoog,hoog,ja
laag,hoog,hoog,hoog,ja
normaal,normaal,normaal,normaal,ja
normaal,normaal,normaal,laag,ja
normaal,normaal,laag,normaal,ja
normaal,laag,normaal,normaal,ja
laag,normaal,normaal,normaal,ja
laag,laag,laag,normaal,nee
laag,laag,normaal,laag,nee
laag,normaal,laag,laag,nee
normaal,laag,laag,laag,nee
normaal,normaal,normaal,hoog,ja
normaal,normaal,hoog,normaal,ja
normaal,hoog,normaal,normaal,ja
hoog,normaal,normaal,normaal,ja
hoog,hoog,hoog,normaal,nee
hoog,hoog,normaal,hoog,nee
hoog,normaal,hoog,hoog,nee
normaal,hoog,hoog,hoog,nee
hoog,hoog,normaal,laag,ja
hoog,hoog,laag,normaal,ja
hoog,laag,normaal,hoog,ja
hoog,laag,hoog,normaal,ja
hoog,normaal,laag,hoog,ja
hoog,normaal,hoog,laag,nee
laag,laag,normaal,hoog,nee
laag,laag,hoog,normaal,nee
laag,hoog,laag,normaal,nee
laag,hoog,normaal,laag,nee
laag,normaal,hoog,laag,nee
laag,normaal,laag,hoog,nee
normaal,normaal,laag,hoog,ja
normaal,normaal,hoog,laag,ja
normaal,laag,hoog,normaal,ja
normaal,laag,normaal,hoog,ja
normaal,hoog,laag,normaal,ja
normaal,hoog,normaal,laag,ja
hoog,hoog,normaal,normaal,ja
hoog,normaal,hoog,normaal,ja
hoog,normaal,normaal,hoog,ja
hoog,hoog,laag,laag,ja
hoog,laag,laag,hoog,ja
hoog,laag,hoog,laag,ja
laag,laag,normaal,normaal,nee
laag,normaal,laag,normaal,nee
laag,normaal,normaal,laag,nee
